address,alias,type,malicious,continue
0xea50115ad3ebef50597ea5eca7eac2a3c9c53acf,CompoundLoanInfo,Smart Contract,False,False
0x3dd0cdf5ffa28c6847b4b276e2fd256046a44bb7,CompoundLogger,Smart Contract,False,False
0xa5d7d68d7975e89feb240f42fed1d77bb71b1caf,CompoundManager,Smart Contract,False,False
0xf3ad78068511e4cd6a2ff4bbbab1585817098393,CompoundMonitor,Smart Contract,False,False
0xfa849a1c5fc35a2c8d37f5ee690aea80496508c9,CompoundMonitor,Smart Contract,False,False
0x3dfa84cf5856e01bc4e12355caf7a61738509f53,CompoundMonitorProxy,Smart Contract,False,False
0xd0ff11ea62c867f6df8e9cc37bb5339107fab141,CompoundRegistry,Smart Contract,False,False
0x0d5ec207d7b29525cc25963347903958c98a66d3,CompoundSaverFlashLoan,Smart Contract,False,False
0x416efaad75ea7010ca1ce50297630d7f54cdcabd,CompoundSaverFlashLoan,Smart Contract,False,False
0x632cfd9245b7a4692f03b3d562ed01e5cff94898,CompoundSaverFlashLoan,Smart Contract,False,False
0x0f7ad062479bc90934a23aa6ba75a72aadf4c349,CompoundSaverProxy,Smart Contract,False,False
0x5ad2120169cd5155f213cc3b58838e545bee1779,CompoundSaverProxy,Smart Contract,False,False
0x5e57465d07cd853287a80f87f7e05ac5417edc43,CompoundSaverProxy,Smart Contract,False,False
0x648ec0fa1c29b71785fd81922be8d642ddb2fb60,CompoundSaverProxy,Smart Contract,False,False
0x6edb679e04ce7d8246e905a7cf2c0be3df0034c1,CompoundSaverProxy,Smart Contract,False,False
0x8be2701357a39b0ce77a27f38c951b0aa4810996,CompoundSaverProxy,Smart Contract,False,False
0xd8a3b6f219ccc5d9c595add7e77f6064d416ce65,CompoundSaverProxy,Smart Contract,False,False
0xff97c79d207fc3d7a51531d0fa93581cf8e0105d,CompoundSaverProxy,Smart Contract,False,False
0xc2d61949a299bbbeff14d12c00748888a9336b3b,CompoundSavingsProtocol,Smart Contract,False,False
0x131bea5c6679b9df528de29ba9b8f91ced3919af,CompoundSubscriptions,Smart Contract,False,False
0xac1fd75fef38c854cf86611bc66e102981c264a1,CompoundSubscriptions,Smart Contract,False,False
0x43eaa91b4222faa7222bce76dcb123fd6d280884,CompoundSubscriptionsProxy,Smart Contract,False,False
0xdf436ece24614bb7c6f44fedde48a0c6725602a2,CompoundSubscriptionsProxy,Smart Contract,False,False
0x87968386134a636b3000c26a4b15126d41bb8962,CompoundTokenAdapter,Smart Contract,False,False
0x3fd79e82ccac22a1c1b504e8a04bec133cb3f282,ConnectAave,Smart Contract,False,False
0x547f1508a2a1ab0cb84dce4b3e09beb560bb44cb,ConnectCompound,Smart Contract,False,False
0xaecfa2c0f4bad0ecee46dcd1250cd0334fe28bc0,ConnectCompound,Smart Contract,False,False
0xbb6f35da4f7789d97e04d7eabb81c82da8272792,ConnectCompound,Smart Contract,False,False
0x5863a4c7ae18c6ab186fd0a57f61cfcad27fc61c,ConnectDydx,Smart Contract,False,False
0x6af6c791c869dfa65f8a2fa042fa47d1535bef25,ConnectDydx,Smart Contract,False,False
0x0a7493f31a23ff79eda30b12e6ba49f011b06e36,ConnectMaker,Smart Contract,False,False
0x58bbb677296b6d1b596288b31abb928492400fbf,ConnectMaker,Smart Contract,False,False
0xdcb6a51ea3ca5d3fd898fd6564757c7aaec3ca92,CurveRewards,Smart Contract,False,False
0x36c60c1cc2818ccb9ea5a1b87c0b309196d2d867,CurveTokenAdapter,Smart Contract,False,False
0x9759a6ac90977b93b58547b4a71c78317f391a28,DaiJoin,Smart Contract,False,False
0xd219e1cad8cde8c46f2d923ace35a8e5b729a683,DedgeCompoundManager,Smart Contract,False,False
